Optimization Time,Query Execution Time,Learning Rate G,Learning Rate D,Activation Function
2.70249080657959,4071.6940000000004,0.001,0.001,ReLU
1.1536471843719482,4797.254000000001,0.001,0.001,LeakyReLU
1.1158311367034912,11084.614,0.001,0.005,ReLU
1.1209049224853516,4616.6089999999995,0.001,0.005,LeakyReLU
1.113450050354004,8228.51,0.001,0.01,ReLU
1.1233630180358887,7422.101,0.001,0.01,LeakyReLU
1.1151177883148193,5728.51,0.005,0.001,ReLU
1.1254398822784424,3816.0629999999996,0.005,0.001,LeakyReLU
1.1067860126495361,9640.694,0.005,0.005,ReLU
1.1226460933685303,3387.3900000000003,0.005,0.005,LeakyReLU
1.1277968883514404,5333.393999999999,0.005,0.01,ReLU
1.1760268211364746,6924.650999999999,0.005,0.01,LeakyReLU
1.1303889751434326,4682.4310000000005,0.01,0.001,ReLU
1.1868031024932861,3232.4269999999997,0.01,0.001,LeakyReLU
1.1170039176940918,5365.098,0.01,0.005,ReLU
1.146820306777954,5728.51,0.01,0.005,LeakyReLU
1.1024880409240723,5333.393999999999,0.01,0.01,ReLU
1.2028510570526123,4524.767999999999,0.01,0.01,LeakyReLU
